web-scraper-order,web-scraper-start-url,latest_video,latest_video-href,recommended_video,recommended_video-href
"1768103812-22","https://www.youtube.com/user/FoxNewsChannel/videos","We'll REWARD fraud whistleblowers with CASH: Bessent","https://www.youtube.com/watch?v=l9fqodR_urA","Newsom faces heat as billions in homeless relief funds can’t be accounted for","https://www.youtube.com/watch?v=0vtNz42CyMk"
"1768103812-23","https://www.youtube.com/user/FoxNewsChannel/videos","We'll REWARD fraud whistleblowers with CASH: Bessent","https://www.youtube.com/watch?v=l9fqodR_urA","'STUNNER': NYC exodus grows as Mamdani's polices take hold","https://www.youtube.com/watch?v=kD93vokCCos"
"1768103812-24","https://www.youtube.com/user/FoxNewsChannel/videos","We'll REWARD fraud whistleblowers with CASH: Bessent","https://www.youtube.com/watch?v=l9fqodR_urA","SEC. BESSENT’S BOMBSHELL: $600B Fraud & Your 2026 Tax Windfall!","https://www.youtube.com/watch?v=N-cmd2hIgUE"
"1768103812-25","https://www.youtube.com/user/FoxNewsChannel/videos","We'll REWARD fraud whistleblowers with CASH: Bessent","https://www.youtube.com/watch?v=l9fqodR_urA","California Governor Responds After Thousands of Truckers Leave the State | Elizabeth Davis","https://www.youtube.com/watch?v=ey-Tpd3HdiY"
"1768103812-26","https://www.youtube.com/user/FoxNewsChannel/videos","We'll REWARD fraud whistleblowers with CASH: Bessent","https://www.youtube.com/watch?v=l9fqodR_urA","Gavin Newsom sends capital SPRINTING out of California","https://www.youtube.com/watch?v=H29q5bjvs9A"
"1768103812-27","https://www.youtube.com/user/FoxNewsChannel/videos","We'll REWARD fraud whistleblowers with CASH: Bessent","https://www.youtube.com/watch?v=l9fqodR_urA","Tim Walz Exposed For Faking Financial Records In State Audit","https://www.youtube.com/watch?v=Louj7N3dKSw&pp=ugUEEgJlbg%3D%3D"
"1768103812-28","https://www.youtube.com/user/FoxNewsChannel/videos","We'll REWARD fraud whistleblowers with CASH: Bessent","https://www.youtube.com/watch?v=l9fqodR_urA","Scott Bessent connects Minnesota fraud case, involving Tim Walz, to Somali militant group Al-Shabaab","https://www.youtube.com/watch?v=PCfRZWiTPY4"
"1768103812-29","https://www.youtube.com/user/FoxNewsChannel/videos","We'll REWARD fraud whistleblowers with CASH: Bessent","https://www.youtube.com/watch?v=l9fqodR_urA","Iran warns protesters that they could face the death penalty, but demonstrations appear to grow","https://www.youtube.com/watch?v=GP80vysFCgs"
"1768103812-30","https://www.youtube.com/user/FoxNewsChannel/videos","We'll REWARD fraud whistleblowers with CASH: Bessent","https://www.youtube.com/watch?v=l9fqodR_urA","California Governor Loses Control as Hundreds of Gas Stations Shut Down | Elizabeth Davis","https://www.youtube.com/watch?v=e-MgyB_Mmp0"
"1768103812-31","https://www.youtube.com/user/FoxNewsChannel/videos","We'll REWARD fraud whistleblowers with CASH: Bessent","https://www.youtube.com/watch?v=l9fqodR_urA","ANOTHER federal agency suspends Minnesota aid amid fraud scandal","https://www.youtube.com/watch?v=s4qXDuVOk64"
"1768103812-32","https://www.youtube.com/user/FoxNewsChannel/videos","We'll REWARD fraud whistleblowers with CASH: Bessent","https://www.youtube.com/watch?v=l9fqodR_urA","Carney is getting his 'HEAD SQUEEZED' on this, Kevin O'Leary says","https://www.youtube.com/watch?v=8aoBTD8KVSk"
"1768103812-33","https://www.youtube.com/user/FoxNewsChannel/videos","We'll REWARD fraud whistleblowers with CASH: Bessent","https://www.youtube.com/watch?v=l9fqodR_urA","WATCH: JD Vance has a message for Jasmine Crockett...","https://www.youtube.com/watch?v=-k7em-PkgJk"
"1768103812-34","https://www.youtube.com/user/FoxNewsChannel/videos","We'll REWARD fraud whistleblowers with CASH: Bessent","https://www.youtube.com/watch?v=l9fqodR_urA","WATCH: Shouting match at Minnesota fraud hearing","https://www.youtube.com/watch?v=2-fDfWNwU4w"
"1768103812-35","https://www.youtube.com/user/FoxNewsChannel/videos","We'll REWARD fraud whistleblowers with CASH: Bessent","https://www.youtube.com/watch?v=l9fqodR_urA","Germans Captured Him — He Laughed, Then Killed 21 of Them in 45 Seconds","https://www.youtube.com/watch?v=PLMjds9a5dI&pp=0gcJCU0KAYcqIYzv"
"1768103812-36","https://www.youtube.com/user/FoxNewsChannel/videos","We'll REWARD fraud whistleblowers with CASH: Bessent","https://www.youtube.com/watch?v=l9fqodR_urA","'He Just Defines Evil, Doesn't He?': Witness Claim About Tim Walz Stunned Glenn Grothman","https://www.youtube.com/watch?v=mT8tURSKIhI"
